ChrZ	0	200000	superscaffold26	0	200000	0.001056	211.236748
ChrZ	200000	400000	superscaffold26	200000	400000	0.000951	190.282562
ChrZ	400000	600000	superscaffold26	400000	600000	0.001924	384.767567
ChrZ	600000	800000	superscaffold26	600000	800000	0.001629	325.702247
ChrZ	800000	1000000	superscaffold26	800000	1000000	0.002491	498.296233
ChrZ	1000000	1200000	superscaffold26	1000000	1200000	0.002691	538.139612
ChrZ	1200000	1400000	superscaffold26	1200000	1400000	0.002529	505.761451
ChrZ	1400000	1600000	superscaffold26	1400000	1600000	0.003186	637.105256
ChrZ	1600000	1800000	superscaffold26	1600000	1800000	0.002882	576.374899
ChrZ	1800000	2000000	superscaffold26	1800000	2000000	0.001947	389.410085
ChrZ	2000000	2200000	superscaffold26	2000000	2200000	0.003001	600.148598
ChrZ	2200000	2400000	superscaffold26	2200000	2400000	0.004199	839.898697
ChrZ	2400000	2600000	superscaffold26	2400000	2600000	0.002613	522.590104
ChrZ	2600000	2800000	superscaffold26	2600000	2800000	0.001776	355.236717
ChrZ	2800000	3000000	superscaffold26	2800000	3000000	0.001784	356.754488
ChrZ	3000000	3200000	superscaffold26	3000000	3200000	0.002388	477.623177
ChrZ	3200000	3400000	superscaffold26	3200000	3400000	0.00271	541.977309
ChrZ	3400000	3600000	superscaffold26	3400000	3600000	0.002525	504.96073
ChrZ	3600000	3800000	superscaffold26	3600000	3800000	0.002346	469.235728
ChrZ	3800000	4000000	superscaffold26	3800000	4000000	0.002094	418.892892
ChrZ	4000000	4200000	superscaffold26	4000000	4200000	0.002037	407.38794
ChrZ	4200000	4400000	superscaffold26	4200000	4400000	0.001672	334.360368
ChrZ	4400000	4600000	superscaffold26	4400000	4600000	0.001124	224.785717
ChrZ	4600000	4800000	superscaffold26	4600000	4800000	0.001714	342.768347
ChrZ	4800000	5000000	superscaffold26	4800000	5000000	0.001395	278.941054
ChrZ	5000000	5200000	superscaffold26	5000000	5200000	0.001702	340.374912
ChrZ	5200000	5400000	superscaffold26	5200000	5400000	0.001525	304.914004
