scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold11.283.1	-846103.985399792	8.6088892551059	-846121.7382	-846109.53025	-846103.583	-846098.2815	-846087.88775	3068.68912481969
superscaffold11.282.1	-1244232.60892188	16.6738619879757	-1244265.62265	-1244243.6205	-1244232.343	-1244221.31575	-1244200.66555	805.860097571803
superscaffold11.281.1	-1313759.71481271	14.1431530769138	-1313788.6548	-1313769.05375	-1313759.538	-1313749.94875	-1313732.7388	1318.805398535
superscaffold11.280.1	-1305659.69927521	10.7223231352565	-1305681.902075	-1305666.63025	-1305659.0935	-1305652.0415	-1305640.115475	1615.89360149519
superscaffold11.279.1	-1315037.8119825	11.4604861948045	-1315060.76455	-1315045.34325	-1315037.4405	-1315030.047	-1315016.0247	2261.88363559295
superscaffold11.278.1	-1316790.06889125	12.9930463115513	-1316817.22615	-1316798.20175	-1316789.674	-1316781.3805	-1316764.969975	1293.79156253117
superscaffold11.277.1	-1254640.59352312	12.9867495473684	-1254667.20665	-1254648.86	-1254640.582	-1254631.86775	-1254615.63465	650.18269570956
superscaffold11.276.1	-1302912.06454583	12.1395507324868	-1302936.362525	-1302920.042	-1302911.995	-1302903.9875	-1302888.396025	1586.93045097059
superscaffold11.275.1	-1322660.5875525	18.6302386842173	-1322698.107725	-1322673.06875	-1322660.4205	-1322647.8315	-1322625.415975	762.931708156356
superscaffold11.274.1	-1324283.05659583	14.1870501939186	-1324311.67465	-1324292.5245	-1324282.188	-1324273.38575	-1324256.761625	1052.3992628982
superscaffold11.273.1	-1283068.15769333	11.0621222340675	-1283089.5608	-1283075.33125	-1283068.3085	-1283061.092	-1283045.998725	2249.97549279714
superscaffold11.272.1	-1222825.22781146	12.3705946397785	-1222851.1346	-1222832.96275	-1222824.694	-1222816.63375	-1222802.19495	1110.43823021508
superscaffold11.271.1	-1241134.73331479	12.2149303207543	-1241158.87925	-1241143.052	-1241134.503	-1241126.397	-1241110.843925	2560.91007963058
superscaffold11.270.1	-1254156.24011771	13.6491617004934	-1254182.58435	-1254165.3165	-1254156.252	-1254146.727	-1254129.72085	1910.48258816393
superscaffold11.269.1	-1284356.31142396	10.8050871122873	-1284379.82805	-1284362.89125	-1284355.5695	-1284348.82725	-1284336.9935	1775.53951644345
superscaffold11.268.1	-1344777.79670729	11.2656126879441	-1344799.823375	-1344785.54525	-1344777.815	-1344770.2455	-1344755.663525	1544.7522208098
superscaffold11.267.1	-1289577.18856896	16.1028472875918	-1289610.80685	-1289587.99625	-1289576.7285	-1289565.549	-1289548.177475	362.844925759492
superscaffold11.266.1	-1269969.95049979	12.5258278428793	-1269995.846975	-1269978.0415	-1269969.54	-1269961.527	-1269946.19435	1731.76974568228
superscaffold11.265.1	-1337694.76933833	12.4053472976219	-1337719.376575	-1337703.10375	-1337695.013	-1337686.412	-1337669.99945	1761.39167065801
superscaffold11.264.1	-1357720.12594917	13.7465389981443	-1357747.755025	-1357728.94275	-1357719.739	-1357710.928	-1357694.1673	772.27114227466
superscaffold11.263.1	-1288208.83672	15.7627829183375	-1288238.992425	-1288220.108	-1288208.884	-1288196.8375	-1288180.483825	474.707204242508
superscaffold11.262.1	-1359385.86129292	17.6942230387325	-1359424.8279	-1359396.95875	-1359384.0315	-1359373.54	-1359355.66055	385.686913529665
superscaffold11.261.1	-1351905.17304521	12.8680001813286	-1351930.96485	-1351914.024	-1351905.0505	-1351896.45025	-1351880.41065	1133.20090924017
superscaffold11.260.1	-1275335.30010563	12.2876840569541	-1275358.52195	-1275343.7585	-1275335.6795	-1275327.085	-1275310.8016	1710.78416439283
superscaffold11.259.1	-1280995.65303354	11.479863329558	-1281019.224125	-1281003.2655	-1280995.482	-1280987.558	-1280974.957125	1138.92834673099
superscaffold11.258.1	-1249167.46202458	14.6191590950883	-1249197.4861	-1249177.158	-1249167.038	-1249157.2965	-1249139.7907	679.328262504701
superscaffold11.257.1	-1234364.62017688	15.8823777676183	-1234397.197225	-1234374.937	-1234364.2775	-1234353.31325	-1234335.156375	702.46153028465
