ChrZ	superscaffold26	42096	60070	42096	60070
ChrZ	superscaffold26	66415	85384	66415	85384
ChrZ	superscaffold26	125016	130226	125016	130226
ChrZ	superscaffold26	151524	187670	151524	187670
ChrZ	superscaffold26	248630	248794	248630	248794
ChrZ	superscaffold26	294701	294865	294701	294865
ChrZ	superscaffold26	354648	368953	354648	368953
ChrZ	superscaffold26	413522	535714	413522	535714
ChrZ	superscaffold26	704958	734219	704958	734219
ChrZ	superscaffold26	738226	738399	738226	738399
ChrZ	superscaffold26	741505	753962	741505	753962
ChrZ	superscaffold26	770173	786339	770173	786339
ChrZ	superscaffold26	819892	820119	819892	820119
ChrZ	superscaffold26	859071	859235	859071	859235
ChrZ	superscaffold26	888915	889079	888915	889079
ChrZ	superscaffold26	913272	958062	913272	958062
ChrZ	superscaffold26	968770	1129121	968770	1129121
ChrZ	superscaffold26	1050073	1050237	1050073	1050237
ChrZ	superscaffold26	1145907	1157048	1145907	1157048
ChrZ	superscaffold26	1425337	1651766	1425337	1651766
ChrZ	superscaffold26	1754165	1762561	1754165	1762561
ChrZ	superscaffold26	1757429	1757581	1757429	1757581
ChrZ	superscaffold26	2058602	2058766	2058602	2058766
ChrZ	superscaffold26	2089522	2113531	2089522	2113531
ChrZ	superscaffold26	2756502	2756666	2756502	2756666
ChrZ	superscaffold26	3007512	3008735	3007512	3008735
ChrZ	superscaffold26	3059066	3061340	3059066	3061340
ChrZ	superscaffold26	3073902	3088001	3073902	3088001
ChrZ	superscaffold26	3078320	3078484	3078320	3078484
ChrZ	superscaffold26	3113749	3113913	3113749	3113913
ChrZ	superscaffold26	3230469	3248988	3230469	3248988
ChrZ	superscaffold26	3333596	3394182	3333596	3394182
ChrZ	superscaffold26	3426895	3430048	3426895	3430048
ChrZ	superscaffold26	3449670	3464303	3449670	3464303
ChrZ	superscaffold26	3465780	3465932	3465780	3465932
ChrZ	superscaffold26	3517994	3518158	3517994	3518158
ChrZ	superscaffold26	3572621	3576059	3572621	3576059
ChrZ	superscaffold26	3578587	3579583	3578587	3579583
ChrZ	superscaffold26	3599047	3813921	3599047	3813921
ChrZ	superscaffold26	3884512	3885051	3884512	3885051
ChrZ	superscaffold26	3914944	4086795	3914944	4086795
ChrZ	superscaffold26	4363206	4371228	4363206	4371228
ChrZ	superscaffold26	4411675	4450644	4411675	4450644
ChrZ	superscaffold26	4652350	4652514	4652350	4652514
ChrZ	superscaffold26	4721743	4722804	4721743	4722804
ChrZ	superscaffold26	4728176	4741541	4728176	4741541
ChrZ	superscaffold26	4744224	4768079	4744224	4768079
ChrZ	superscaffold26	4790832	4813668	4790832	4813668
ChrZ	superscaffold26	4817356	4831803	4817356	4831803
ChrZ	superscaffold26	4989414	5086737	4989414	5086737
ChrZ	superscaffold26	5095506	5104652	5095506	5104652
ChrZ	superscaffold26	5149684	5178234	5149684	5178234
ChrZ	superscaffold26	5213030	5219639	5213030	5219639
ChrZ	superscaffold26	5235752	5249024	5235752	5249024
ChrZ	superscaffold26	5255883	5307894	5255883	5307894
ChrZ	superscaffold26	5313817	5317470	5313817	5317470
ChrZ	superscaffold26	5343751	5382595	5343751	5382595
ChrZ	superscaffold26	5729229	5808140	5729229	5808140
ChrZ	superscaffold26	6012778	6013107	6012778	6013107
ChrZ	superscaffold26	6013924	6014088	6013924	6014088
ChrZ	superscaffold26	6338715	6338879	6338715	6338879
ChrZ	superscaffold26	6350581	6350745	6350581	6350745
ChrZ	superscaffold26	6408910	6409074	6408910	6409074
ChrZ	superscaffold26	6503041	6508730	6503041	6508730
ChrZ	superscaffold26	6590856	6591020	6590856	6591020
ChrZ	superscaffold26	6632907	6757009	6632907	6757009
ChrZ	superscaffold26	6716008	6716172	6716008	6716172
ChrZ	superscaffold26	6794294	6794452	6794294	6794452
ChrZ	superscaffold26	6880447	6880611	6880447	6880611
ChrZ	superscaffold26	7104444	7172288	7104444	7172288
ChrZ	superscaffold26	7290722	7291459	7290722	7291459
ChrZ	superscaffold26	7446373	7446537	7446373	7446537
ChrZ	superscaffold26	7696268	7696432	7696268	7696432
ChrZ	superscaffold26	7767521	7767850	7767521	7767850
ChrZ	superscaffold26	7777799	7777963	7777799	7777963
ChrZ	superscaffold26	7814125	7814289	7814125	7814289
