Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold35	865	1041	0.17210	0.16335	0.07373	0.38617
superscaffold35	1041	1060	0.16892	0.16324	0.07467	0.37685
superscaffold35	1060	1091	0.16684	0.16311	0.07506	0.36392
superscaffold35	1091	1509	0.16645	0.16310	0.07520	0.36275
superscaffold35	1509	1533	0.16600	0.16311	0.07522	0.36098
superscaffold35	1533	1559	0.16570	0.16308	0.07530	0.36060
superscaffold35	1559	1840	0.16568	0.16310	0.07543	0.35881
superscaffold35	1840	2559	0.16533	0.16308	0.07543	0.35825
superscaffold35	2559	2689	0.16328	0.16276	0.07530	0.35130
superscaffold35	2689	4299	0.16097	0.16254	0.07373	0.33532
superscaffold35	4299	4335	0.15807	0.16154	0.06996	0.31192
superscaffold35	4335	4527	0.15532	0.16080	0.06516	0.27859
superscaffold35	4527	4858	0.15302	0.16014	0.06141	0.25113
superscaffold35	4858	4973	0.15114	0.15944	0.05451	0.24018
superscaffold35	4973	5152	0.14961	0.15873	0.04812	0.23075
superscaffold35	5152	5426	0.14839	0.15816	0.04548	0.22581
superscaffold35	5426	6054	0.14699	0.15777	0.04235	0.22021
superscaffold35	6054	6210	0.14630	0.15730	0.04034	0.21810
superscaffold35	6210	6404	0.14562	0.15689	0.03896	0.21510
superscaffold35	6404	6432	0.14531	0.15674	0.03653	0.21463
superscaffold35	6432	7229	0.14502	0.15654	0.03408	0.21421
superscaffold35	7229	7594	0.14479	0.15647	0.03360	0.21366
superscaffold35	7594	8203	0.14437	0.15630	0.03202	0.21312
superscaffold35	8203	8476	0.14424	0.15621	0.03131	0.21338
superscaffold35	8476	9211	0.14419	0.15619	0.03131	0.21312
superscaffold35	9211	9228	0.14398	0.15611	0.03052	0.21311
superscaffold35	9228	9528	0.14409	0.15621	0.03027	0.21312
superscaffold35	9528	10132	0.14378	0.15600	0.02962	0.21224
superscaffold35	10132	10201	0.14368	0.15596	0.02890	0.21222
superscaffold35	10201	11144	0.14364	0.15600	0.02843	0.21224
superscaffold35	11144	11318	0.14360	0.15605	0.02753	0.21222
superscaffold35	11318	11566	0.14377	0.15621	0.02753	0.21338
superscaffold35	11566	11985	0.14408	0.15652	0.02770	0.21396
superscaffold35	11985	12265	0.14434	0.15689	0.02843	0.21425
superscaffold35	12265	12743	0.14451	0.15716	0.02843	0.21444
superscaffold35	12743	13453	0.14505	0.15748	0.02878	0.21614
superscaffold35	13453	14474	0.14562	0.15806	0.02878	0.21889
superscaffold35	14474	14983	0.14701	0.15931	0.02962	0.22162
superscaffold35	14983	15059	0.14867	0.16027	0.03187	0.22969
superscaffold35	15059	16065	0.15009	0.16123	0.03361	0.23611
superscaffold35	16065	17217	0.15353	0.16296	0.03651	0.25385
superscaffold35	17217	17264	0.16377	0.16803	0.04548	0.29580
superscaffold35	17264	18170	0.17654	0.17357	0.06184	0.32085
superscaffold35	18170	18761	0.19524	0.18063	0.08307	0.34539
superscaffold35	18761	20892	0.21076	0.18768	0.11505	0.35908
superscaffold35	20892	20952	0.22161	0.19189	0.13131	0.36947
superscaffold35	20952	22056	0.22924	0.19595	0.14077	0.37705
superscaffold35	22056	22095	0.22846	0.19690	0.14116	0.37411
superscaffold35	22095	22233	0.22746	0.19751	0.14185	0.37228
superscaffold35	22233	22462	0.22744	0.19819	0.14352	0.37107
superscaffold35	22462	22485	0.22776	0.19908	0.14436	0.37095
superscaffold35	22485	23523	0.22871	0.20038	0.14507	0.37162
superscaffold35	23523	23901	0.22956	0.20167	0.14520	0.37228
superscaffold35	23901	24023	0.23041	0.20290	0.14591	0.37265
superscaffold35	24023	24338	0.23163	0.20473	0.14606	0.37315
superscaffold35	24338	24540	0.23243	0.20575	0.14633	0.37453
superscaffold35	24540	25432	0.23339	0.20723	0.14679	0.37539
superscaffold35	25432	26184	0.23695	0.21366	0.14763	0.38071
superscaffold35	26184	27022	0.24271	0.22411	0.15022	0.39346
superscaffold35	27022	27386	0.25151	0.23746	0.15183	0.42290
superscaffold35	27386	28047	0.26109	0.25194	0.15423	0.44623
superscaffold35	28047	28067	0.26773	0.26018	0.15489	0.46013
