Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold35	865	245847	 121.39597	 121.34331	 115.99770	 127.05536
superscaffold35	213368	372393	 138.63925	 138.54761	 132.36296	 145.64778
superscaffold35	342056	530820	 103.66118	 103.58678	  99.45606	 108.16049
superscaffold35	494085	687742	 163.90951	 163.81078	 155.76840	 172.53973
superscaffold35	639996	834815	 167.73930	 167.41161	 157.15358	 181.01501
superscaffold35	801164	984392	 180.50673	 180.12401	 171.08553	 191.15849
superscaffold35	941972	1184597	 149.90443	 149.70668	 143.02095	 157.67402
superscaffold35	1150782	1305169	 242.89776	 242.83326	 233.10048	 253.08924
superscaffold35	1276617	1455895	 177.71182	 177.60724	 169.94914	 185.97707
superscaffold35	1409865	1636716	 141.84612	 141.83962	 136.21184	 147.47956
superscaffold35	1588971	1795480	 127.48722	 127.22121	 120.13803	 136.34304
superscaffold35	1764702	1940243	 196.06212	 195.94239	 187.34976	 205.06745
superscaffold35	1904607	2069956	 200.76562	 200.65433	 193.30807	 208.44120
superscaffold35	2028993	2200069	 225.48554	 225.41071	 214.62662	 236.57585
superscaffold35	2165004	2334946	 280.19205	 280.02453	 265.63167	 295.35294
superscaffold35	2299094	2450951	 279.25043	 279.08240	 264.84009	 294.59253
superscaffold35	2426077	2592950	 221.49317	 221.24297	 210.86186	 232.65739
superscaffold35	2557080	2720554	 171.19746	 171.20029	 164.66038	 177.94332
superscaffold35	2691636	2839110	 326.00001	 325.88649	 310.33657	 342.25055
superscaffold35	2815118	2999240	 260.88669	 260.82114	 246.99463	 275.02567
superscaffold35	2955989	3122644	 329.31288	 329.25304	 312.30942	 347.58873
superscaffold35	3090981	3244683	 229.18571	 229.05667	 218.71752	 240.60353
superscaffold35	3208909	3391241	 140.50870	 140.40279	 134.05920	 147.47840
superscaffold35	3362955	3521619	  90.88952	  90.77614	  85.99041	  96.59915
superscaffold35	3483765	3661082	 107.89677	 107.84173	 103.22868	 112.84323
superscaffold35	3637594	3743183	  90.14839	  90.12544	  86.44336	  93.94877
superscaffold35	3725132	3863470	  78.24996	  78.23324	  74.84789	  81.72788
superscaffold35	3827258	4010723	 105.63086	 105.56175	 100.43113	 111.43408
superscaffold35	3978790	4113777	 163.62466	 163.52798	 155.96525	 171.83506
superscaffold35	4088914	4198567	 192.80381	 192.71196	 182.49199	 204.19405
superscaffold35	4183015	4314443	 175.84377	 175.74646	 167.89518	 184.23693
superscaffold35	4276104	4454285	 140.95415	 140.83983	 135.30496	 146.94387
superscaffold35	4422372	4555948	 219.15767	 219.09826	 209.50657	 229.49668
superscaffold35	4555992	4625526	 214.50368	 214.25027	 200.32889	 229.95834
