Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold36	3524794	3762120	 148.26998	 148.17308	 141.82520	 154.80178
superscaffold36	3722695	3917954	 139.50997	 139.32781	 132.63008	 147.41281
superscaffold36	3868578	4051985	 177.81143	 177.75050	 169.85154	 186.55311
superscaffold36	4027282	4169871	 239.90167	 239.74659	 230.23656	 250.29136
superscaffold36	4141008	4284662	 179.34267	 179.11646	 170.16014	 189.66332
superscaffold36	4250726	4431874	 131.65452	 131.61174	 126.20034	 137.33804
superscaffold36	4401410	4587866	 159.71802	 159.67120	 152.59471	 167.29728
superscaffold36	4543539	4739833	 160.10061	 159.96502	 152.07876	 169.04136
superscaffold36	4701005	4920415	 159.36629	 159.24022	 151.15711	 168.25401
superscaffold36	4880641	5057320	 192.27512	 192.17496	 183.84936	 201.85506
superscaffold36	5021179	5188061	 203.71306	 203.45207	 193.78072	 214.52348
superscaffold36	5157750	5339271	 153.13739	 153.07103	 146.78352	 159.86133
superscaffold36	5298923	5479568	 125.21936	 125.14274	 120.26332	 130.57781
superscaffold36	5436224	5584915	 109.08524	 109.01566	 103.50504	 114.92970
superscaffold36	5557652	5712234	 118.83432	 118.81967	 114.58016	 123.31127
superscaffold36	5673412	5821496	 123.94381	 123.92021	 119.55271	 128.59454
superscaffold36	5794552	5937042	 149.62267	 149.53902	 143.29512	 156.10644
superscaffold36	5896185	6078964	 175.51869	 175.46477	 167.39420	 184.03393
superscaffold36	6044060	6181569	 223.98035	 223.91463	 213.82876	 234.60128
superscaffold36	6154794	6345306	 194.08631	 194.06846	 183.37354	 204.88363
superscaffold36	6299476	6502680	 134.83410	 134.69170	 128.87085	 141.24472
superscaffold36	6462923	6667649	 146.97074	 146.87289	 140.84799	 153.46522
superscaffold36	6626927	6810711	 136.85805	 136.71238	 131.55198	 142.98899
superscaffold36	6785289	6938167	  97.14790	  97.14774	  93.28575	 101.09037
superscaffold36	6899307	7061402	  94.43431	  94.39875	  90.21646	  99.14818
superscaffold36	7033486	7175830	 134.67490	 134.64265	 129.38936	 140.20808
superscaffold36	7150985	7292711	 170.13099	 169.95648	 162.49646	 178.46141
superscaffold36	7272916	7367762	 192.13102	 192.01673	 183.53305	 201.32125
superscaffold36	7343892	7446513	 148.11588	 148.05495	 141.63385	 154.95544
superscaffold36	7423285	7552886	 201.97162	 201.89669	 192.38722	 211.54715
superscaffold36	7524628	7675720	 129.66643	 129.57509	 123.46922	 136.00441
superscaffold36	7647150	7781174	 178.88127	 178.56197	 168.40536	 191.25287
superscaffold36	7755819	7903113	 216.57572	 216.30956	 201.56794	 232.53263
superscaffold36	7861616	8069279	 129.18515	 129.12670	 123.66123	 135.03072
superscaffold36	8038417	8176046	 171.23541	 171.17070	 164.03102	 179.16690
superscaffold36	8146574	8287447	 165.97201	 165.85198	 157.68439	 175.00073
superscaffold36	8262578	8443015	 143.14901	 142.96036	 135.64198	 151.40818
superscaffold36	8396249	8595124	 166.14909	 166.12864	 158.09143	 174.60519
superscaffold36	8557118	8725224	 276.98654	 276.51962	 259.47418	 297.10529
superscaffold36	8684574	8860685	 271.10293	 270.90526	 255.59111	 288.76497
superscaffold36	8828363	9016728	 151.93011	 151.85735	 144.72717	 159.76860
superscaffold36	8970182	9176337	 132.61465	 132.51282	 127.27147	 138.29903
superscaffold36	9140750	9289389	 189.44550	 189.41562	 181.52565	 197.66859
superscaffold36	9289671	9394165	  96.25640	  96.24022	  89.73929	 103.12398
