ChrZ	0	200000	superscaffold26	0	200000	172423	75723	187157	187670	6147	2657
ChrZ	200000	400000	superscaffold26	200000	400000	162040	67022	368763	368953	546	249
ChrZ	400000	600000	superscaffold26	400000	600000	189695	78569	535609	535714	2826	1280
ChrZ	600000	800000	superscaffold26	600000	800000	181544	75608	786207	786339	6575	2827
ChrZ	800000	1000000	superscaffold26	800000	1000000	177852	81608	957545	958062	250	133
ChrZ	1000000	1200000	superscaffold26	1000000	1200000	188714	75953	1156940	1157048	817	346
ChrZ	1200000	1400000	superscaffold26	1200000	1400000	188759	86399	0	0	0	0
ChrZ	1400000	1600000	superscaffold26	1400000	1600000	177338	79032	1425336	1425429	565	277
ChrZ	1600000	1800000	superscaffold26	1600000	1800000	181785	80892	1651632	1651766	1488	805
ChrZ	1800000	2000000	superscaffold26	1800000	2000000	187767	77836	0	0	0	0
ChrZ	2000000	2200000	superscaffold26	2000000	2200000	178993	75581	2113406	2113531	0	0
ChrZ	2200000	2400000	superscaffold26	2200000	2400000	188545	81624	0	0	0	0
ChrZ	2400000	2600000	superscaffold26	2400000	2600000	188356	78672	0	0	0	0
ChrZ	2600000	2800000	superscaffold26	2600000	2800000	189552	83677	2756501	2756666	0	0
ChrZ	2800000	3000000	superscaffold26	2800000	3000000	187365	86618	0	0	0	0
ChrZ	3000000	3200000	superscaffold26	3000000	3200000	182776	83199	3113748	3113913	1851	902
ChrZ	3200000	3400000	superscaffold26	3200000	3400000	188020	87071	3391363	3391575	3300	1647
ChrZ	3400000	3600000	superscaffold26	3400000	3600000	187272	82517	3599046	3599186	2555	1222
ChrZ	3600000	3800000	superscaffold26	3600000	3800000	186920	74712	3783022	3783136	1720	756
ChrZ	3800000	4000000	superscaffold26	3800000	4000000	169131	82983	3989934	3990419	1867	998
ChrZ	4000000	4200000	superscaffold26	4000000	4200000	187249	90208	4086615	4086795	596	313
ChrZ	4200000	4400000	superscaffold26	4200000	4400000	185708	90335	4370753	4371228	1462	770
ChrZ	4400000	4600000	superscaffold26	4400000	4600000	191504	83450	4450523	4450644	1389	596
ChrZ	4600000	4800000	superscaffold26	4600000	4800000	182113	78649	4795834	4795925	3072	1470
ChrZ	4800000	5000000	superscaffold26	4800000	5000000	190496	81848	4998698	4998834	4489	2036
ChrZ	5000000	5200000	superscaffold26	5000000	5200000	183800	81466	5177510	5178234	7082	3536
ChrZ	5200000	5400000	superscaffold26	5200000	5400000	193624	84646	5275557	5275698	12818	6095
ChrZ	5400000	5600000	superscaffold26	5400000	5600000	189355	79083	0	0	0	0
ChrZ	5600000	5800000	superscaffold26	5600000	5800000	187795	78356	5735907	5736075	550	262
ChrZ	5800000	6000000	superscaffold26	5800000	6000000	184045	83079	5804674	5808140	3432	1652
ChrZ	6000000	6200000	superscaffold26	6000000	6200000	188106	75617	6012777	6013107	0	0
ChrZ	6200000	6400000	superscaffold26	6200000	6400000	189751	73364	6350580	6350745	0	0
ChrZ	6400000	6600000	superscaffold26	6400000	6600000	177618	66017	6590855	6591020	1242	501
ChrZ	6600000	6800000	superscaffold26	6600000	6800000	180174	66599	6794293	6794452	0	0
ChrZ	6800000	7000000	superscaffold26	6800000	7000000	188014	73099	6880446	6880611	0	0
ChrZ	7000000	7200000	superscaffold26	7000000	7200000	187286	72645	7143347	7143435	2577	1114
ChrZ	7200000	7400000	superscaffold26	7200000	7400000	186559	75183	7290721	7291459	0	0
ChrZ	7400000	7600000	superscaffold26	7400000	7600000	184678	71166	7446372	7446537	0	0
ChrZ	7600000	7800000	superscaffold26	7600000	7800000	179835	69452	7777798	7777963	0	0
ChrZ	7800000	8000000	superscaffold26	7800000	8000000	182366	69840	7814124	7814289	0	0
ChrZ	8000000	8200000	superscaffold26	8000000	8200000	179832	67934	0	0	0	0
ChrZ	8200000	8400000	superscaffold26	8200000	8400000	183788	68270	0	0	0	0
ChrZ	8400000	8600000	superscaffold26	8400000	8600000	183347	69935	8587972	8588131	0	0
ChrZ	8600000	8800000	superscaffold26	8600000	8800000	176177	66420	8781797	8782535	0	0
ChrZ	8800000	9000000	superscaffold26	8800000	9000000	187106	72483	0	0	0	0
ChrZ	9000000	9200000	superscaffold26	9000000	9200000	183275	73828	0	0	0	0
ChrZ	9200000	9400000	superscaffold26	9200000	9400000	190711	79179	0	0	0	0
ChrZ	9400000	9600000	superscaffold26	9400000	9600000	189897	79911	9567908	9568073	0	0
ChrZ	9600000	9800000	superscaffold26	9600000	9800000	189069	82126	9764823	9764971	520	278
ChrZ	9800000	10000000	superscaffold26	9800000	10000000	187484	78848	9848630	9848755	563	308
ChrZ	10000000	10200000	superscaffold26	10000000	10200000	186163	78297	10197084	10197211	3060	1507
ChrZ	10200000	10400000	superscaffold26	10200000	10400000	179930	84517	10370537	10370754	3766	2039
ChrZ	10400000	10600000	superscaffold26	10400000	10600000	184932	75195	10599638	10599771	6736	3074
ChrZ	10600000	10800000	superscaffold26	10600000	10800000	180828	82450	10796551	10796686	1412	718
ChrZ	10800000	11000000	superscaffold26	10800000	11000000	156129	76943	10955913	10956098	2858	1489
ChrZ	11000000	11200000	superscaffold26	11000000	11200000	178094	87954	0	0	0	0
ChrZ	11200000	11400000	superscaffold26	11200000	11400000	176316	93356	11378581	11378807	226	137
ChrZ	11400000	11600000	superscaffold26	11400000	11600000	165959	93506	11554169	11554315	1835	1106
ChrZ	11600000	11800000	superscaffold26	11600000	11800000	174099	93038	11730829	11730988	11700	6732
ChrZ	11800000	12000000	superscaffold26	11800000	12000000	190080	80475	11998811	11998959	1090	516
ChrZ	12000000	12200000	superscaffold26	12000000	12200000	186143	86142	12179405	12179583	8806	4567
ChrZ	12200000	12400000	superscaffold26	12200000	12400000	55117	30757	12398995	12399098	3316	1882
ChrZ	12400000	12600000	superscaffold26	12400000	12600000	161315	87881	12597901	12598111	13696	7742
ChrZ	12600000	12800000	superscaffold26	12600000	12800000	181648	79292	12615560	12615681	2818	1361
ChrZ	12800000	13000000	superscaffold26	12800000	13000000	191696	86037	12957589	12958068	2664	1448
ChrZ	13000000	13200000	superscaffold26	13000000	13200000	186918	74334	13107039	13107207	5604	2474
ChrZ	13200000	13400000	superscaffold26	13200000	13400000	193242	77455	13210317	13210394	306	118
ChrZ	13400000	13600000	superscaffold26	13400000	13600000	183680	75174	13525245	13525391	2874	1254
ChrZ	13600000	13800000	superscaffold26	13600000	13800000	185353	75838	13795571	13795683	4165	2094
ChrZ	13800000	14000000	superscaffold26	13800000	14000000	191201	80435	13998354	13998394	5694	2354
ChrZ	14000000	14200000	superscaffold26	14000000	14200000	185691	69151	14199844	14200000	5916	2471
ChrZ	14200000	14400000	superscaffold26	14200000	14400000	181518	69271	14395202	14395338	9016	3675
ChrZ	14400000	14600000	superscaffold26	14400000	14600000	188787	72517	14594160	14594298	2600	1084
ChrZ	14600000	14800000	superscaffold26	14600000	14800000	177609	66421	14777221	14777374	1310	568
ChrZ	14800000	15000000	superscaffold26	14800000	15000000	190675	68901	14991505	14991686	12704	5341
ChrZ	15000000	15200000	superscaffold26	15000000	15200000	185044	70814	15174059	15174231	2042	917
