Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold11	161	220870	 144.82396	 144.83191	 138.92431	 151.07240
superscaffold11	178525	539335	 120.16814	 119.84617	 112.38867	 129.15079
superscaffold11	487311	748334	  76.97738	  76.96998	  73.47932	  80.64814
superscaffold11	702267	926988	 109.59478	 109.46711	 104.28822	 115.59874
superscaffold11	883922	1104080	 106.19388	 106.11503	 101.57377	 111.03228
superscaffold11	1062775	1224332	 100.72225	 100.66798	  96.48526	 105.18165
superscaffold11	1193199	1406237	 121.48878	 121.46311	 116.31004	 126.95602
superscaffold11	1362988	1546277	 137.53384	 137.41034	 131.98113	 143.62790
superscaffold11	1503177	1738178	 153.58080	 153.49929	 146.85017	 160.47891
superscaffold11	1686524	1978284	 110.86496	 110.94278	 104.32570	 117.22913
superscaffold11	1936550	2150060	 105.24676	 105.21566	 100.97955	 109.49154
superscaffold11	2096424	2316848	  58.85894	  58.80737	  56.09791	  61.81286
superscaffold11	2292322	2430869	  88.10958	  88.09364	  84.45911	  91.84522
superscaffold11	2400995	2523901	 103.22611	 103.19943	  99.03794	 107.72816
superscaffold11	2491352	2675846	  81.41111	  81.29798	  77.05396	  86.31770
superscaffold11	2629339	2855493	 121.56379	 121.44847	 115.62053	 128.30452
superscaffold11	2812247	3028854	 159.07706	 158.99828	 152.24340	 166.13696
superscaffold11	2990964	3201285	 140.12597	 140.08896	 134.72281	 146.14638
superscaffold11	3161890	3388317	 165.74670	 165.65941	 158.32471	 173.59486
superscaffold11	3334563	3629040	  65.28721	  65.23733	  62.23116	  68.56136
superscaffold11	3585092	3815940	  70.96400	  70.95053	  67.72091	  74.39986
superscaffold11	3769192	3985924	  98.16926	  98.14866	  93.73051	 102.68139
superscaffold11	3942940	4159651	 124.25904	 124.18981	 119.16405	 129.85005
superscaffold11	4114141	4340313	 113.58813	 113.49996	 108.82968	 118.83816
superscaffold11	4301687	4532797	  72.14939	  72.15433	  68.30208	  76.07643
superscaffold11	4495994	4781600	  71.68907	  71.62013	  68.31704	  75.41947
superscaffold11	4724844	5033768	  77.71906	  77.68810	  74.37612	  81.39384
superscaffold11	4974465	5196236	 178.27040	 178.10440	 169.13000	 188.20789
superscaffold11	5164383	5324900	 219.19011	 219.04225	 209.60483	 229.11006
superscaffold11	5294567	5485615	 160.10450	 160.05977	 153.02962	 167.59124
superscaffold11	5436475	5647240	 205.33332	 205.26215	 197.74343	 213.38498
superscaffold11	5607694	5811564	 177.38760	 177.25848	 169.76112	 185.41388
superscaffold11	5766589	5953976	 156.31726	 156.24465	 150.40607	 162.57145
superscaffold11	5916972	6096655	 108.70770	 108.75150	 104.89374	 112.51267
superscaffold11	6074987	6255210	  99.32849	  99.32796	  95.96165	 102.67838
superscaffold11	6220792	6456098	  72.77362	  72.73716	  70.05635	  75.59090
superscaffold11	6399769	6637743	  90.72084	  90.62913	  86.45398	  95.57719
superscaffold11	6580486	6834665	  64.96156	  64.95743	  63.10607	  66.91900
superscaffold11	6801452	7031258	  51.39190	  51.39234	  49.79836	  53.00797
superscaffold11	6983955	7243620	  37.04151	  37.04985	  35.72638	  38.30180
superscaffold11	7178987	7505207	  36.45486	  36.43693	  35.34934	  37.75711
superscaffold11	7432394	7764488	  47.19428	  47.05492	  44.99885	  49.71779
superscaffold11	7699674	7964138	  48.14865	  48.13685	  46.61642	  49.79766
superscaffold11	7929152	8147844	  66.75002	  66.70322	  63.61169	  70.09202
superscaffold11	8094877	8299113	  74.43974	  74.44441	  71.44469	  77.48563
superscaffold11	8274382	8426667	  79.88049	  79.84221	  77.18959	  82.60005
superscaffold11	8386342	8615368	  62.95432	  62.96424	  60.91852	  64.94832
superscaffold11	8567245	8825074	  68.92041	  68.88078	  66.46218	  71.57814
superscaffold11	8769510	9049649	  77.24967	  77.21589	  74.76929	  79.80634
superscaffold11	9000601	9242038	  82.19265	  82.19057	  79.64851	  84.80510
superscaffold11	9194679	9469695	  79.90383	  79.87428	  76.76384	  83.20951
superscaffold11	9402658	9628210	  63.56730	  63.52532	  61.29521	  65.94422
superscaffold11	9585196	9762220	  84.61167	  84.58236	  81.58757	  87.75185
superscaffold11	9719275	9955036	  75.85145	  75.78499	  72.66359	  79.28721
superscaffold11	9899408	10145208	  77.40494	  77.34722	  74.37896	  80.68892
superscaffold11	10109333	10261506	  73.96163	  73.90646	  70.88233	  77.26854
superscaffold11	10227217	10409178	  84.90411	  84.81129	  81.64906	  88.52947
superscaffold11	10369178	10589502	  83.04113	  83.05704	  80.27785	  85.76666
superscaffold11	10550536	10779319	  79.69184	  79.57526	  76.24887	  83.77859
superscaffold11	10706366	10992507	  73.66340	  73.65095	  71.11796	  76.33171
superscaffold11	10941904	11265884	  74.76232	  74.70648	  71.95746	  77.79792
superscaffold11	11193177	11485980	  65.80217	  65.77284	  63.41577	  68.34282
superscaffold11	11429809	11714517	  68.88278	  68.88968	  66.70332	  71.07420
superscaffold11	11641112	11899868	 100.93935	 100.90982	  97.64430	 104.41558
superscaffold11	11855072	12112753	 112.33770	 112.28222	 108.68295	 116.41370
superscaffold11	12047283	12304591	  75.25177	  75.18994	  72.51390	  78.17793
superscaffold11	12259728	12454821	 102.66317	 102.60700	  99.48686	 105.94293
superscaffold11	12407458	12677794	 110.91543	 110.82130	 107.23792	 114.99507
superscaffold11	12614355	12846567	  61.04860	  61.03012	  58.76575	  63.50762
superscaffold11	12808738	13033578	  68.82572	  68.78887	  66.40379	  71.34124
superscaffold11	12982615	13301115	  79.83129	  79.80987	  77.32171	  82.43517
superscaffold11	13246974	13545271	  47.20248	  47.17467	  45.58625	  48.97266
superscaffold11	13493383	13786964	  32.97127	  32.98694	  31.88760	  33.96716
superscaffold11	13729183	14013535	  33.18898	  33.18044	  32.07897	  34.38347
