chr	scaffold	scaf_pos1	scaf_pos2	pos1	pos2	Dprime	LOD	r2	CIlow	CIhi	meanDist	nSNP
ChrZ	superscaffold26	0	200000	0	200000	0.776119248946642	0.567156585816026	0.140340984003878	0.0984741228233715	0.910850469816175	24146.6403342779	214552
ChrZ	superscaffold26	50000	250000	50000	250000	0.773489510967629	0.56478827412133	0.138155135790918	0.098093169585713	0.910479367902656	23584.8691749731	194527
ChrZ	superscaffold26	100000	300000	100000	300000	0.779540184426332	0.580457384770886	0.139032660489248	0.10048531410732	0.912344664133958	23187.2371302386	200839
ChrZ	superscaffold26	150000	350000	150000	350000	0.784793218329766	0.592599224369599	0.140769580376444	0.102409120898573	0.914874563506751	23475.1457981323	186429
ChrZ	superscaffold26	200000	400000	200000	400000	0.808519901335029	0.587081185505404	0.140837942784488	0.102083560076287	0.922572002542912	23476.6061843611	196625
ChrZ	superscaffold26	250000	450000	250000	450000	0.81418169760184	0.54214349631333	0.135469449007154	0.0959539257555848	0.923696433785954	23901.5680163163	219168
ChrZ	superscaffold26	300000	500000	300000	500000	0.804386766058113	0.522298006737553	0.1324964498278	0.0928525512421841	0.920281832012572	23791.2892884609	239256
ChrZ	superscaffold26	350000	550000	350000	550000	0.790796364267328	0.489532818627781	0.124305139755529	0.0879479387070255	0.916193177989515	23961.4271943774	296804
ChrZ	superscaffold26	400000	600000	400000	600000	0.796484568720734	0.46806625708203	0.117995731950006	0.0852207082430689	0.918191434516766	23784.7862555862	374363
ChrZ	superscaffold26	450000	650000	450000	650000	0.804376130358544	0.450725000179907	0.113656236671856	0.082961996349078	0.92041920835922	24083.2020984406	416881
ChrZ	superscaffold26	500000	700000	500000	700000	0.812786057667162	0.435895541342578	0.110522770982613	0.0811209157407892	0.922994089825683	24269.9744689436	401511
ChrZ	superscaffold26	550000	750000	550000	750000	0.826688575363428	0.43534004407039	0.111699324560061	0.0814066717674063	0.926752869166029	23792.8175761285	326750
ChrZ	superscaffold26	600000	800000	600000	800000	0.804785231937327	0.472804383423211	0.117340257916812	0.0860433826093955	0.921059524767705	22574.7930673678	223638
ChrZ	superscaffold26	650000	850000	650000	850000	0.779954539411708	0.489337326888707	0.118967684424606	0.0878706760694822	0.915472121708354	22702.5685489906	227166
ChrZ	superscaffold26	700000	900000	700000	900000	0.775572121751756	0.489728635085651	0.120415048109511	0.0877758927031569	0.915206977182575	23605.3949351655	249327
ChrZ	superscaffold26	750000	950000	750000	950000	0.781499470880172	0.473853597490499	0.116158194062277	0.0856050454459447	0.915549283830271	23340.9894153237	438653
ChrZ	superscaffold26	800000	1000000	800000	1000000	0.791308945801217	0.465715944279017	0.114736084612446	0.0847115402109247	0.917753816111054	24168.7260445663	494679
ChrZ	superscaffold26	850000	1050000	850000	1050000	0.795483712475743	0.477065959937988	0.116673796892899	0.0865107274113638	0.91829613581911	24083.1772778358	553442
ChrZ	superscaffold26	900000	1100000	900000	1100000	0.783336051353587	0.49191664734042	0.119481689275491	0.0883898352019218	0.914311991387994	23778.9251866569	577798
ChrZ	superscaffold26	950000	1150000	950000	1150000	0.787960967988089	0.486493863419246	0.120829922966619	0.0877619713640617	0.916243568291358	24218.3187950072	509779
ChrZ	superscaffold26	1000000	1200000	1000000	1200000	0.786622377099584	0.473930978559993	0.118967878893273	0.0859334264390298	0.915183465432269	23571.8576450952	557789
ChrZ	superscaffold26	1050000	1250000	1050000	1250000	0.795016742485909	0.462930362304373	0.119182684031884	0.0844829905853082	0.917313633641013	23606.1182027614	651110
ChrZ	superscaffold26	1100000	1300000	1100000	1300000	0.806572588171353	0.45217172706337	0.11756947163289	0.0832881398533375	0.920294712411804	24033.3114547274	612699
ChrZ	superscaffold26	1150000	1350000	1150000	1350000	0.814438584960312	0.452026285251196	0.118462319584134	0.0834813791105852	0.92278874241976	23579.0614430804	649056
ChrZ	superscaffold26	1200000	1400000	1200000	1400000	0.819041620442105	0.436762854890024	0.115133990776481	0.0815378521853139	0.924643610925194	23457.5334164611	545345
ChrZ	superscaffold26	1250000	1450000	1250000	1450000	0.807820638226243	0.428247389819974	0.111537464445874	0.0801353538579734	0.92113015723664	24232.875017804	463378
ChrZ	superscaffold26	1300000	1500000	1300000	1500000	0.802127799230329	0.433065545431116	0.112343177797483	0.0806736149635913	0.919717576191745	23703.1118381682	457858
ChrZ	superscaffold26	1350000	1550000	1350000	1550000	0.79969957784081	0.43674420462708	0.112531226296448	0.0812211726807599	0.919003831793343	23856.2533102233	407903
ChrZ	superscaffold26	1400000	1600000	1400000	1600000	0.821621274049164	0.419649122365919	0.111417231065785	0.0794112963632268	0.925808334773795	24248.535932974	381822
ChrZ	superscaffold26	1450000	1650000	1450000	1650000	0.841841512688449	0.403762432533934	0.109857971994206	0.0778080905627984	0.931605236332421	24138.9407049734	372780
ChrZ	superscaffold26	1500000	1700000	1500000	1700000	0.822836475935844	0.414747400655138	0.110465858918119	0.0789408596706794	0.925824190860355	23661.3925137992	365419
ChrZ	superscaffold26	1550000	1750000	1550000	1750000	0.807927685754969	0.439197748743115	0.115969934609446	0.081834414000035	0.921345048411032	23944.7726796113	399599
ChrZ	superscaffold26	1600000	1800000	1600000	1800000	0.793272382244801	0.458749859540462	0.118070400733034	0.0841058491944744	0.91749075008409	24225.5825626037	431085
ChrZ	superscaffold26	1650000	1850000	1650000	1850000	0.778017123838232	0.473412629549182	0.11869296688683	0.0854997414187981	0.913156256926282	22665.4626313223	676770
ChrZ	superscaffold26	1700000	1900000	1700000	1900000	0.78445680968824	0.487715201282513	0.122398536834124	0.0876126349099055	0.915760677267541	23532.0194216427	668687
ChrZ	superscaffold26	1750000	1950000	1750000	1950000	0.782739652626515	0.496289925734636	0.123597512795157	0.0887962696938517	0.91529806368848	23461.9056148357	598664
ChrZ	superscaffold26	1800000	2000000	1800000	2000000	0.783773209515582	0.494763585952555	0.124314355106652	0.0884713768356701	0.915434181673201	21699.3175460163	601960
ChrZ	superscaffold26	1850000	2050000	1850000	2050000	0.786153936123733	0.482646577027263	0.122710889986019	0.086842974484446	0.915992594372597	23951.2340134568	457760
ChrZ	superscaffold26	1900000	2100000	1900000	2100000	0.775910780948593	0.47417035795963	0.119129214278612	0.0854566371681416	0.913352649895595	24178.738671572	502850
ChrZ	superscaffold26	1950000	2150000	1950000	2150000	0.774689357125843	0.468045158476607	0.116557585263497	0.084735311838805	0.912999775806745	23442.9264838791	570936
ChrZ	superscaffold26	2000000	2200000	2000000	2200000	0.780488251578955	0.458403548162913	0.114994001115006	0.0835856989025592	0.914334623990958	24156.1594477666	523764
ChrZ	superscaffold26	2050000	2250000	2050000	2250000	0.803017838284681	0.42261827572548	0.109584633255834	0.079106621889262	0.920520588995092	24043.857588909	580650
ChrZ	superscaffold26	2100000	2300000	2100000	2300000	0.810628600199149	0.406042078206952	0.107526907591241	0.0769341605027155	0.922100927919853	24009.1639758006	623653
ChrZ	superscaffold26	2150000	2350000	2150000	2350000	0.818384560149763	0.412764395783652	0.111124917156684	0.0780481757381328	0.924914888493595	23986.8740703916	643685
ChrZ	superscaffold26	2200000	2400000	2200000	2400000	0.813644833066785	0.421875095844109	0.11249017512817	0.0791970929177442	0.923951386053264	24022.846574282	705312
ChrZ	superscaffold26	2250000	2450000	2250000	2450000	0.807315066426919	0.436760137365654	0.116302781184795	0.0808403623743538	0.921863142421271	24251.43182591	755793
ChrZ	superscaffold26	2300000	2500000	2300000	2500000	0.804612482084769	0.450819786047019	0.119443626660528	0.082632978562299	0.920551976884355	24103.3912213856	825415
ChrZ	superscaffold26	2350000	2550000	2350000	2550000	0.804212780832959	0.46782570756642	0.122498319976125	0.0850079327021181	0.919542811084357	24297.7398443558	784096
ChrZ	superscaffold26	2400000	2600000	2400000	2600000	0.809398335155764	0.469661798393879	0.122286421579488	0.085415264109546	0.920435382317417	23765.1970583821	839538
ChrZ	superscaffold26	2450000	2650000	2450000	2650000	0.810194155675926	0.471001122374788	0.121164429995738	0.0857912676591066	0.921216357708163	24068.0503104708	837599
ChrZ	superscaffold26	2500000	2700000	2500000	2700000	0.818186035313861	0.447640524890196	0.117263184751392	0.0827268809836706	0.924019741930994	24240.3704047685	747242
ChrZ	superscaffold26	2550000	2750000	2550000	2750000	0.82657984769579	0.454236564446321	0.120613335122043	0.0839761691122137	0.927595959862533	23630.6293442181	682056
ChrZ	superscaffold26	2600000	2800000	2600000	2800000	0.833923530173111	0.457069293210376	0.124133656474141	0.0845995362131262	0.929886512430567	24075.1479134984	463575
ChrZ	superscaffold26	2650000	2850000	2650000	2850000	0.818781116364184	0.498419747642185	0.132257016411267	0.0902444943863856	0.925067955557066	23892.2621434153	412034
ChrZ	superscaffold26	2700000	2900000	2700000	2900000	0.799904137615861	0.523606426370124	0.136064231125277	0.0933309272431128	0.919596456485312	23654.1636719437	426695
ChrZ	superscaffold26	2750000	2950000	2750000	2950000	0.818945075691603	0.497605450719594	0.135890128812571	0.0900974447197154	0.925203277896061	23781.1563167567	562678
ChrZ	superscaffold26	2800000	3000000	2800000	3000000	0.825716005392538	0.473564593741724	0.131338857093267	0.0869368770863539	0.927392310097841	24119.7549941571	668331
ChrZ	superscaffold26	2850000	3050000	2850000	3050000	0.83799692638185	0.44915185052102	0.126581734700831	0.0836681762424573	0.930605848935037	24252.9018920292	645656
ChrZ	superscaffold26	2900000	3100000	2900000	3100000	0.830086229620412	0.445887156680232	0.123178252672271	0.0831598376952889	0.927909980631849	23651.3805099818	505469
ChrZ	superscaffold26	2950000	3150000	2950000	3150000	0.819622527073294	0.4341938822784	0.114656292397389	0.0812354897025571	0.924670528328867	23350.9407584591	344066
ChrZ	superscaffold26	3000000	3200000	3000000	3200000	0.809114605642768	0.439355301645807	0.115103311635643	0.0818891364387725	0.92243033809382	23628.8665669052	389596
ChrZ	superscaffold26	3050000	3250000	3050000	3250000	0.806263579355071	0.463001612418647	0.122405299013145	0.085040827144358	0.921303215460542	23956.2950347227	522569
ChrZ	superscaffold26	3100000	3300000	3100000	3300000	0.800208001761436	0.460443623953517	0.120867416285554	0.0844238103161677	0.919562330138209	24204.7996618311	594969
ChrZ	superscaffold26	3150000	3350000	3150000	3350000	0.791836331932397	0.464156903579297	0.120219316982758	0.0845929942363815	0.916779185939697	23914.6090770894	615065
ChrZ	superscaffold26	3200000	3400000	3200000	3400000	0.792493017523041	0.465149865432538	0.120068523397018	0.0844932716269135	0.917517835528658	23824.4897828409	632025
ChrZ	superscaffold26	3250000	3450000	3250000	3450000	0.789242015138205	0.457039812654825	0.11851408939552	0.0833508965853944	0.917269879853603	24354.9540627842	581707
ChrZ	superscaffold26	3300000	3500000	3300000	3500000	0.782138336562193	0.461526291057385	0.118909505940217	0.0840704333749104	0.915473262386879	23686.3686774059	565215
ChrZ	superscaffold26	3350000	3550000	3350000	3550000	0.779917359030369	0.460205149523497	0.117512656434246	0.0838313583731225	0.914582088109644	23679.6037018422	517310
ChrZ	superscaffold26	3400000	3600000	3400000	3600000	0.790451307445106	0.456179512416655	0.115705564787774	0.0833347996269097	0.91689988880607	24094.5091561888	491034
ChrZ	superscaffold26	3450000	3650000	3450000	3650000	0.788759759990063	0.465464690527241	0.115498469063526	0.0842217949618076	0.915485699677934	23989.4881300216	555477
ChrZ	superscaffold26	3500000	3700000	3500000	3700000	0.811257268710737	0.453516309667296	0.115483413241786	0.083076720990214	0.92252417223304	24089.2479617575	563353
ChrZ	superscaffold26	3550000	3750000	3550000	3750000	0.807061621348495	0.457850805481541	0.116754838134402	0.0836971899936359	0.921916546028016	24208.9335648197	571956
ChrZ	superscaffold26	3600000	3800000	3600000	3800000	0.808252432501905	0.453146309981731	0.116421257883576	0.0832086221300113	0.922853216315214	24215.4360363172	544645
ChrZ	superscaffold26	3650000	3850000	3650000	3850000	0.797161830954289	0.453737065083992	0.117209089923615	0.0831338923797024	0.919482127163691	23999.3702869178	516594
ChrZ	superscaffold26	3700000	3900000	3700000	3900000	0.786292424245708	0.459549945065542	0.116487011197094	0.0836120435401628	0.915469088261362	24029.1079164129	461459
ChrZ	superscaffold26	3750000	3950000	3750000	3950000	0.800851791043358	0.470910965566728	0.120357073171891	0.0856829867513163	0.919071950616815	24091.4482906917	420872
ChrZ	superscaffold26	3800000	4000000	3800000	4000000	0.797138284799857	0.485711321840204	0.123389236432084	0.0876696949470633	0.917118404553312	23990.3424786843	358069
ChrZ	superscaffold26	3850000	4050000	3850000	4050000	0.833145890103112	0.486562953023657	0.127016597717289	0.0885068550225876	0.927819220308845	24033.1969076122	304813
ChrZ	superscaffold26	3900000	4100000	3900000	4100000	0.831533854234783	0.489842692425841	0.128770611547223	0.0889985978849657	0.927945521291771	23544.4924009015	328789
ChrZ	superscaffold26	3950000	4150000	3950000	4150000	0.821871189165272	0.491292395740882	0.128908758053917	0.0891657699688709	0.926627369049396	24205.1256659781	381957
ChrZ	superscaffold26	4000000	4200000	4000000	4200000	0.822256023697616	0.489411528456401	0.128629907613833	0.0890047842440961	0.927249491355816	24270.941809777	451691
ChrZ	superscaffold26	4050000	4250000	4050000	4250000	0.810655714797944	0.493372221314623	0.127475943555351	0.0891972910642036	0.923673039426812	23817.2108060399	471329
ChrZ	superscaffold26	4100000	4300000	4100000	4300000	0.805240859666752	0.496401550509671	0.127057852782819	0.0893927441246607	0.921737280721488	24145.55245187	400062
ChrZ	superscaffold26	4150000	4350000	4150000	4350000	0.808110234635466	0.486002279732597	0.125194870101277	0.0880479450096359	0.92208484162249	23738.5634310648	349734
ChrZ	superscaffold26	4200000	4400000	4200000	4400000	0.803645767339599	0.4805422629752	0.123519119114335	0.0872253057469067	0.920607849346087	23553.8370684144	334754
ChrZ	superscaffold26	4250000	4450000	4250000	4450000	0.799666132769382	0.475207087619041	0.123916988806057	0.0865101547661271	0.920531621149492	24332.9544419436	301681
ChrZ	superscaffold26	4300000	4500000	4300000	4500000	0.791721484090909	0.486717871103896	0.125585291233766	0.0877531818181818	0.917709220779221	23552.9320779221	308000
ChrZ	superscaffold26	4350000	4550000	4350000	4550000	0.78601863931055	0.51941536725115	0.132560028256126	0.0919155141830055	0.915057312842409	23414.6400891638	318515
ChrZ	superscaffold26	4400000	4600000	4400000	4600000	0.78112683784886	0.56327170726524	0.140338921213305	0.098089751468958	0.914308598932816	23903.0667162542	348206
ChrZ	superscaffold26	4450000	4650000	4450000	4650000	0.791092608821044	0.57387057138954	0.143100735930298	0.099947328742518	0.918163665433792	23986.5157052433	395282
ChrZ	superscaffold26	4500000	4700000	4500000	4700000	0.782015160567236	0.558967468581603	0.139208978028879	0.0978251859936164	0.916565133635502	23901.306687773	425149
ChrZ	superscaffold26	4550000	4750000	4550000	4750000	0.788630746353349	0.542673531322252	0.135510641427352	0.0956848934936425	0.919442568198165	23721.6134064364	401807
ChrZ	superscaffold26	4600000	4800000	4600000	4800000	0.786509036526467	0.51141847141115	0.12932328313787	0.0911886278533784	0.91804952213131	23912.8821069201	372278
ChrZ	superscaffold26	4650000	4850000	4650000	4850000	0.789113001270389	0.507162572553864	0.12977031555956	0.0905383393244332	0.918714964801625	24130.9355985952	314077
ChrZ	superscaffold26	4700000	4900000	4700000	4900000	0.792104022919854	0.528783855914733	0.134635617483517	0.0935351215546042	0.918880711178245	24068.7218597912	259513
ChrZ	superscaffold26	4750000	4950000	4750000	4950000	0.78189096930178	0.569152119935526	0.140745279507656	0.0982527657703861	0.91461550296725	23448.9834749799	272980
ChrZ	superscaffold26	4800000	5000000	4800000	5000000	0.781360897355329	0.536164549802672	0.129718660319883	0.0937905424397334	0.91347810885358	23098.2094004301	437597
ChrZ	superscaffold26	4850000	5050000	4850000	5050000	0.784133203231352	0.519682566842273	0.125853388141173	0.0917298740168574	0.914065007834678	24166.2189997125	525229
ChrZ	superscaffold26	4900000	5100000	4900000	5100000	0.787204688686543	0.503827084590108	0.124692223728381	0.0899442169435711	0.915629812708033	23957.7246261613	563612
ChrZ	superscaffold26	4950000	5150000	4950000	5150000	0.789546587175157	0.487064332427026	0.12378318301413	0.0879297272694606	0.916832716485605	23094.5762675323	500934
ChrZ	superscaffold26	5000000	5200000	5000000	5200000	0.777053845465411	0.496330413531881	0.127216802836175	0.0892323792806786	0.914745598789775	23810.3409819217	346382
ChrZ	superscaffold26	5050000	5250000	5050000	5250000	0.757552282600412	0.513000526963319	0.128557805644169	0.0908806765599312	0.908679570372467	23615.1025210404	367388
