chr	pos1	pos2	Dprime	LOD	r2	CIlow	CIhi	meanDist	nSNP
scaffold120	0	200000	0.806602821179537	0.446803557297077	0.111661682213088	0.0824680948185943	0.921278894906476	23723.642420933	468811
scaffold120	50000	250000	0.807192150413886	0.446642324890193	0.111532034483487	0.0822898101613312	0.921181502871864	24328.2344291114	378848
scaffold120	100000	300000	0.801780786796391	0.437763677184166	0.108951760307433	0.0808126352632026	0.919193810739864	23991.930783642	364567
scaffold120	150000	350000	0.817003692863778	0.428238569480504	0.109457534895077	0.0799163351832885	0.923880707667389	23979.2932228521	335864
scaffold120	200000	400000	0.820537775082658	0.439050324425001	0.112240148135314	0.0816029511557731	0.924738539726542	24280.2835852789	346305
scaffold120	250000	450000	0.811474856203521	0.458884248803405	0.115793424012671	0.084266819376477	0.921979043418176	24361.656917218	316941
scaffold120	300000	500000	0.79571743925388	0.46453561324233	0.11589604464449	0.0845558262593132	0.917467540128719	23257.3001616357	339034
scaffold120	350000	550000	0.794734344309142	0.446355887979098	0.110248254776401	0.0818968845498869	0.916701716938437	23608.9311154268	342936
scaffold120	400000	600000	0.790810743389367	0.435675732106104	0.108563359434583	0.0802440788992551	0.916054749939927	24151.5327580263	382868
scaffold120	450000	650000	0.798031898776883	0.437545418398166	0.109321001306658	0.0806961164424642	0.918657998457716	23955.2669303187	373472
scaffold120	500000	700000	0.817043064073198	0.459537107777942	0.118532392800847	0.0844736712477218	0.925891304615536	23636.1898243929	324816
scaffold120	550000	750000	0.831318942668629	0.482630630529327	0.12698747077208	0.0880949183933326	0.930496221454203	23564.9295288807	302365
scaffold120	600000	800000	0.852775450300934	0.470478989990867	0.126114108512347	0.0868948949389513	0.937164396976354	24129.8980748283	272651
scaffold120	650000	850000	0.850367624085993	0.457920853185969	0.12412896283317	0.084892340870034	0.935988644404758	23772.0413215622	296770
scaffold120	700000	900000	0.832467147000116	0.43887579842629	0.115471652250636	0.08182726799352	0.930704914950243	23877.0318538822	276544
scaffold120	750000	950000	0.833719836318349	0.43542404024829	0.113825964496106	0.0813853635393192	0.930800498161547	24167.7855612225	252930
scaffold120	800000	1000000	0.825086655777411	0.428535589334276	0.110642217701792	0.0802332857826257	0.927147345420694	23585.0336460762	232033
scaffold120	850000	1050000	0.814255483032001	0.449630713899813	0.113378229322411	0.0828817328592429	0.923947368421053	23052.3387129198	159182
scaffold120	900000	1100000	0.799059355174749	0.461099442679306	0.115093176727955	0.0838978071774572	0.91910318245742	22370.1093702797	95995
scaffold120	950000	1010486	0.779060967791966	0.479284562890968	0.118451071016216	0.0856371814092954	0.912770338968447	20120.4004721777	58029
scaffold1321	0	200000	0.753410136784622	0.54061406530508	0.137062754921918	0.0949315325736692	0.904766129092835	23521.0675885795	133129
scaffold1321	50000	133612	0.742210906098176	0.552201664587039	0.139602198210635	0.0963100326545783	0.902651259723365	21711.7808691958	75334
scaffold1404	0	200000	0.823603928470769	0.497751123491068	0.126233352123149	0.0902546819623764	0.926098634540079	24075.2916039507	166757
scaffold1404	50000	250000	0.834546973240936	0.506668376128052	0.128974523032345	0.0918482605735831	0.92938138211524	23459.6961109463	114578
scaffold1404	100000	184221	0.833631521572534	0.537694593455437	0.137347858073416	0.0963640892022377	0.929872595601196	21326.0858494904	52196
scaffold198	0	200000	0.812900392889866	0.636836169323804	0.16467076635514	0.108599157045996	0.920264834157962	23545.766523731	136425
