Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold92	17573	301397	  64.47898	  63.89955	  53.63573	  80.77165
superscaffold92	258462	549300	  38.64722	  38.50216	  34.77083	  43.20154
superscaffold92	502144	773215	  88.59665	  88.42763	  83.06714	  94.71403
superscaffold92	706524	1027330	  58.15204	  58.02546	  53.91710	  62.89865
superscaffold92	983180	1145690	  69.45642	  69.28440	  64.82940	  74.80560
superscaffold92	1121693	1293248	  89.95897	  89.60420	  84.19487	  98.50659
superscaffold92	1247936	1582608	  78.28952	  78.17587	  73.35581	  83.57545
superscaffold92	1548705	1724617	 110.58844	 110.23194	 101.75380	 120.96614
superscaffold92	1686550	1847637	 109.26977	 108.91591	 100.82843	 119.63103
superscaffold92	1821634	1965964	  99.10004	  98.79380	  88.77933	 111.68907
superscaffold92	1931153	2196467	 124.28106	 123.84153	 115.47893	 135.35175
superscaffold92	2158078	2306520	 291.29972	 290.63632	 263.39647	 321.75467
superscaffold92	2282325	2436279	 302.75554	 302.67585	 272.27610	 335.40803
superscaffold92	2408313	2594926	 236.45282	 235.16701	 210.71330	 268.38428
superscaffold92	2571067	2717057	 208.68149	 208.50446	 188.75766	 229.73549
superscaffold92	2717074	2828219	  61.00917	  60.84549	  56.11042	  66.77473
