Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold83	2861	3024	0.20259	0.17386	0.14393	0.47544
superscaffold83	3024	3098	0.19563	0.17380	0.14402	0.44859
superscaffold83	3098	3292	0.19364	0.17372	0.14427	0.43589
superscaffold83	3292	3633	0.19079	0.17366	0.14414	0.41730
superscaffold83	3633	3800	0.19010	0.17366	0.14431	0.41301
superscaffold83	3800	3865	0.18981	0.17366	0.14502	0.40833
superscaffold83	3865	4364	0.18921	0.17364	0.14509	0.40513
superscaffold83	4364	4491	0.18878	0.17365	0.14550	0.39665
superscaffold83	4491	4702	0.18924	0.17364	0.14588	0.39207
superscaffold83	4702	5194	0.18681	0.17342	0.14595	0.37572
superscaffold83	5194	5222	0.18467	0.17326	0.14556	0.35437
superscaffold83	5222	5687	0.18248	0.17303	0.14550	0.33222
superscaffold83	5687	5887	0.18075	0.17282	0.14548	0.31471
superscaffold83	5887	6336	0.17876	0.17259	0.14491	0.28630
superscaffold83	6336	6348	0.17754	0.17225	0.14485	0.27695
superscaffold83	6348	6766	0.17677	0.17216	0.14485	0.26742
superscaffold83	6766	6795	0.17594	0.17192	0.14435	0.25504
superscaffold83	6795	6981	0.17575	0.17188	0.14435	0.25217
superscaffold83	6981	7000	0.17491	0.17168	0.14431	0.23864
superscaffold83	7000	7310	0.17424	0.17152	0.14402	0.22113
superscaffold83	7310	7414	0.17365	0.17135	0.14358	0.21225
superscaffold83	7414	7605	0.17331	0.17128	0.14350	0.20801
superscaffold83	7605	7930	0.17293	0.17120	0.14304	0.20694
superscaffold83	7930	8316	0.17256	0.17113	0.14285	0.20476
superscaffold83	8316	8420	0.17226	0.17096	0.14278	0.20330
superscaffold83	8420	8631	0.17235	0.17093	0.14277	0.20283
superscaffold83	8631	9223	0.17172	0.17085	0.14230	0.20195
superscaffold83	9223	9461	0.17138	0.17078	0.14205	0.20062
superscaffold83	9461	9856	0.17094	0.17069	0.14140	0.19999
superscaffold83	9856	10262	0.17080	0.17063	0.14109	0.19975
superscaffold83	10262	10361	0.17069	0.17058	0.14095	0.19955
superscaffold83	10361	10702	0.17057	0.17052	0.14069	0.19916
superscaffold83	10702	10888	0.17056	0.17051	0.14069	0.19915
superscaffold83	10888	11084	0.17038	0.17049	0.14037	0.19879
superscaffold83	11084	11460	0.17019	0.17042	0.14028	0.19853
superscaffold83	11460	11493	0.17007	0.17030	0.13998	0.19820
superscaffold83	11493	11713	0.17001	0.17028	0.13988	0.19819
superscaffold83	11713	12010	0.16994	0.17025	0.13975	0.19817
superscaffold83	12010	12153	0.16986	0.17023	0.13932	0.19805
superscaffold83	12153	12293	0.16980	0.17022	0.13907	0.19793
superscaffold83	12293	12316	0.16978	0.17021	0.13896	0.19773
superscaffold83	12316	12318	0.16969	0.17019	0.13889	0.19760
superscaffold83	12318	12407	0.16969	0.17020	0.13896	0.19760
superscaffold83	12407	12886	0.16972	0.17021	0.13896	0.19760
superscaffold83	12886	12944	0.16970	0.17020	0.13887	0.19760
superscaffold83	12944	13186	0.16967	0.17020	0.13887	0.19758
superscaffold83	13186	13523	0.16959	0.17019	0.13872	0.19754
superscaffold83	13523	15472	0.16954	0.17019	0.13855	0.19754
superscaffold83	15472	15508	0.16976	0.17022	0.13878	0.19767
superscaffold83	15508	15544	0.16973	0.17022	0.13872	0.19760
superscaffold83	15544	15757	0.16973	0.17022	0.13872	0.19760
superscaffold83	15757	15918	0.16974	0.17022	0.13872	0.19760
superscaffold83	15918	16372	0.16972	0.17022	0.13868	0.19760
superscaffold83	16372	16534	0.16966	0.17020	0.13848	0.19758
superscaffold83	16534	16566	0.17016	0.17022	0.13868	0.19769
superscaffold83	16566	16738	0.17047	0.17023	0.13878	0.19783
superscaffold83	16738	16752	0.17256	0.17033	0.13941	0.19845
superscaffold83	16752	16831	0.17544	0.17049	0.14028	0.19965
superscaffold83	16831	17041	0.17876	0.17056	0.14069	0.20056
superscaffold83	17041	17188	0.18072	0.17061	0.14104	0.20116
superscaffold83	17188	17307	0.18219	0.17064	0.14104	0.20153
superscaffold83	17307	17377	0.18096	0.17060	0.14044	0.20126
superscaffold83	17377	17458	0.17906	0.17052	0.14028	0.20062
superscaffold83	17458	17534	0.17754	0.17049	0.13943	0.20020
superscaffold83	17534	17618	0.17514	0.17040	0.13872	0.19975
superscaffold83	17618	17619	0.17419	0.17029	0.13800	0.19939
superscaffold83	17619	17837	0.17325	0.17025	0.13721	0.19915
superscaffold83	17837	17884	0.17214	0.17021	0.13578	0.19858
superscaffold83	17884	17986	0.16974	0.17015	0.13311	0.19817
superscaffold83	17986	18129	0.16903	0.17012	0.13230	0.19793
superscaffold83	18129	18251	0.16878	0.17010	0.13164	0.19773
superscaffold83	18251	18398	0.16853	0.17008	0.13062	0.19769
superscaffold83	18398	18445	0.16848	0.17006	0.13008	0.19767
superscaffold83	18445	18704	0.16825	0.17004	0.12833	0.19760
superscaffold83	18704	19223	0.16820	0.17004	0.12690	0.19760
superscaffold83	19223	19329	0.16816	0.17003	0.12589	0.19760
superscaffold83	19329	19341	0.16816	0.17003	0.12589	0.19760
