Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold62	1600	1607	0.61433	0.30103	0.00101	1.75659
superscaffold62	1607	90378	0.61313	0.29685	0.00101	1.75424
superscaffold62	90378	90855	0.62809	0.33575	0.00102	1.75615
superscaffold62	90855	91241	0.64188	0.36993	0.00103	1.75615
superscaffold62	91241	91733	0.65258	0.39866	0.00107	1.74691
superscaffold62	91733	91795	0.66775	0.43933	0.00107	1.74691
superscaffold62	91795	91880	0.68259	0.47989	0.00112	1.75030
superscaffold62	91880	92080	0.69478	0.52678	0.00113	1.74467
superscaffold62	92080	92448	0.70891	0.57140	0.00114	1.74467
superscaffold62	92448	92589	0.71825	0.61449	0.00116	1.74261
superscaffold62	92589	92878	0.73234	0.67732	0.00119	1.73969
superscaffold62	92878	92881	0.75131	0.76266	0.00123	1.73969
superscaffold62	92881	92980	0.77295	0.85073	0.00128	1.74691
superscaffold62	92980	93034	0.79283	0.91508	0.00132	1.74691
superscaffold62	93034	93043	0.81384	1.01186	0.00141	1.75615
superscaffold62	93043	93055	0.83880	1.08602	0.00145	1.75615
superscaffold62	93055	93244	0.86695	1.13786	0.00152	1.75867
superscaffold62	93244	93396	0.89896	1.18074	0.00165	1.76514
superscaffold62	93396	93596	0.93180	1.20978	0.00190	1.76930
superscaffold62	93596	93609	0.97018	1.23067	0.00206	1.77974
superscaffold62	93609	93860	1.01493	1.25660	0.00224	1.79364
superscaffold62	93860	94577	1.06615	1.27875	0.00255	1.81766
superscaffold62	94577	94994	1.15483	1.32033	0.00410	1.85451
superscaffold62	94994	95513	1.27125	1.36481	0.01518	1.93323
superscaffold62	95513	95520	1.33201	1.38544	0.06771	2.01631
superscaffold62	95520	95649	1.39268	1.40527	0.36113	2.15808
superscaffold62	95649	95960	1.42835	1.41754	0.58244	2.24153
superscaffold62	95960	96028	1.44362	1.42371	0.72771	2.25744
superscaffold62	96028	96127	1.45972	1.43022	0.83684	2.27666
superscaffold62	96127	96492	1.47309	1.43539	0.91292	2.30631
superscaffold62	96492	96556	1.47691	1.43738	0.96465	2.30186
superscaffold62	96556	97157	1.48208	1.43905	0.99579	2.30631
superscaffold62	97157	97282	1.48266	1.43927	1.00018	2.30631
superscaffold62	97282	97347	1.48317	1.43981	1.00458	2.30747
superscaffold62	97347	97521	1.48087	1.43919	1.00776	2.28925
superscaffold62	97521	97554	1.47823	1.43898	1.00776	2.27391
superscaffold62	97554	97600	1.47688	1.43827	1.00776	2.25949
superscaffold62	97600	97679	1.47294	1.43700	1.00067	2.22183
superscaffold62	97679	97916	1.46710	1.43507	0.99737	2.18811
superscaffold62	97916	98242	1.44380	1.42641	0.90532	2.02443
superscaffold62	98242	98309	1.41662	1.41774	0.76266	1.93333
superscaffold62	98309	98447	1.39383	1.40989	0.51143	1.89497
superscaffold62	98447	98490	1.38260	1.40527	0.45032	1.88389
superscaffold62	98490	99175	1.37147	1.40292	0.39914	1.87418
superscaffold62	99175	99287	1.37134	1.40241	0.40190	1.87418
superscaffold62	99287	99547	1.37128	1.40241	0.40563	1.87433
superscaffold62	99547	99556	1.37172	1.40334	0.40563	1.87433
superscaffold62	99556	99571	1.37266	1.40292	0.40689	1.87433
superscaffold62	99571	99879	1.37330	1.40268	0.40689	1.87433
superscaffold62	99879	100137	1.37401	1.40334	0.40794	1.87418
superscaffold62	100137	100329	1.37776	1.40395	0.42950	1.87593
superscaffold62	100329	101584	1.38049	1.40400	0.44582	1.87433
superscaffold62	101584	103371	1.39629	1.40912	0.57139	1.88316
superscaffold62	103371	103691	1.44921	1.42397	0.90106	1.95672
