Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold63	4798	193519	 190.69979	 190.44281	 178.89118	 204.20064
superscaffold63	147899	374046	 271.95215	 271.49645	 247.59108	 297.63918
superscaffold63	327785	566616	 189.90177	 189.34183	 166.10988	 217.54368
superscaffold63	509415	785078	  52.79693	  52.74250	  49.52456	  56.43267
superscaffold63	730521	932820	 107.09415	 106.87549	  99.17272	 116.39001
superscaffold63	895810	1084927	 158.01795	 157.74210	 147.48444	 169.93549
superscaffold63	1048299	1211605	 182.43553	 182.47130	 170.22063	 195.26880
superscaffold63	1177555	1363390	 153.73243	 152.54830	 138.53123	 174.74406
superscaffold63	1324173	1481660	 228.96883	 228.34947	 209.94466	 251.56903
superscaffold63	1456618	1609583	 165.58002	 165.29873	 153.09470	 179.87085
superscaffold63	1609926	1692535	  34.33290	  34.24488	  31.20170	  37.77238
