Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold93	4801	238826	  72.84405	  72.82513	  68.56891	  77.37875
superscaffold93	189142	573120	  51.37966	  50.32826	  45.52712	  60.98003
superscaffold93	522396	712701	  54.59522	  53.98020	  48.62963	  64.19931
superscaffold93	688574	842630	  38.94937	  38.92730	  36.14254	  41.97966
superscaffold93	806329	993607	  60.50368	  60.44500	  57.13578	  64.38864
superscaffold93	948307	1140580	  38.19105	  38.09405	  35.58684	  41.24136
superscaffold93	1098767	1285546	  57.40892	  57.48123	  50.05253	  65.24434
superscaffold93	1246152	1447066	  32.89424	  32.87600	  30.78390	  35.08826
superscaffold93	1417377	1592289	  15.38923	  15.33384	  13.71111	  17.33925
superscaffold93	1551408	1759994	  19.88738	  19.86277	  17.64491	  22.27427
superscaffold93	1717443	1929781	  32.54649	  32.51145	  29.92140	  35.38675
superscaffold93	1874152	2095249	  46.13269	  46.09302	  43.70340	  48.70052
superscaffold93	2057563	2323106	  51.69787	  51.60274	  48.16799	  55.60783
superscaffold93	2259777	2594629	  63.87265	  63.62608	  58.64935	  70.48828
superscaffold93	2517066	2788096	  35.92055	  35.69793	  31.36586	  41.55685
superscaffold93	2734877	3002204	  58.45714	  58.40528	  53.93203	  63.29027
superscaffold93	2950639	3167247	 120.49590	 120.00934	 110.04340	 132.96237
superscaffold93	3120186	3341159	 154.98177	 153.35836	 137.14649	 182.28589
superscaffold93	3291390	3470392	 211.59940	 211.32471	 195.90518	 228.36280
superscaffold93	3441623	3618728	 223.83407	 223.55920	 208.99930	 240.74082
superscaffold93	3577731	3781097	 239.49569	 239.05641	 221.60826	 259.18023
superscaffold93	3747687	3914794	 229.93027	 229.56422	 212.14245	 250.09771
superscaffold93	3889319	4103101	 100.21929	 100.01871	  94.29165	 107.13434
superscaffold93	4055846	4251286	 229.32915	 228.82086	 201.57520	 260.55683
superscaffold93	4219483	4420423	 308.81622	 312.91747	 249.19373	 367.84114
superscaffold93	4371829	4577497	 297.19762	 296.47948	 268.05927	 330.64906
superscaffold93	4535823	4744482	 269.98649	 269.30345	 236.16194	 306.54987
superscaffold93	4710990	4880121	 275.06285	 274.75227	 252.17539	 300.93303
superscaffold93	4880690	4983422	  42.40369	  42.02860	  36.86351	  50.04433
